2026-03-17 08:08:27 | state=GENERAL_TIME | obs_residual=0.1ms | applied=0.1ms | post_residual=0.0ms | soft=0 | hard=0 | drift=250.0ppm | uptime=00:00:00 | sec=0.0ms min=0.0ms hr=0.0ms day=0.0ms wk=0.0ms mon=0.0ms yr=0.0ms
2026-03-17 08:08:28 | state=GENERAL_TIME | obs_residual=-0.2ms | applied=-0.2ms | post_residual=0.0ms | soft=0 | hard=0 | drift=250.0ppm | uptime=00:00:01 | sec=0.0ms min=0.0ms hr=0.0ms day=0.0ms wk=0.0ms mon=0.0ms yr=0.0ms
2026-03-17 08:08:29 | state=FULL_LOCK | obs_residual=-0.3ms | applied=-0.3ms | post_residual=0.0ms | soft=0 | hard=0 | drift=250.0ppm | uptime=00:00:02 | sec=0.0ms min=0.0ms hr=0.0ms day=0.0ms wk=0.0ms mon=0.0ms yr=0.0ms
2026-03-17 08:08:31 | state=FULL_LOCK | obs_residual=-0.3ms | applied=-0.3ms | post_residual=0.0ms | soft=0 | hard=0 | drift=250.0ppm | uptime=00:00:03 | sec=0.0ms min=0.0ms hr=0.0ms day=0.0ms wk=0.0ms mon=0.0ms yr=0.0ms
2026-03-17 08:08:32 | state=FULL_LOCK | obs_residual=-0.2ms | applied=-0.2ms | post_residual=0.0ms | soft=0 | hard=0 | drift=250.0ppm | uptime=00:00:04 | sec=0.0ms min=0.0ms hr=0.0ms day=0.0ms wk=0.0ms mon=0.0ms yr=0.0ms
2026-03-17 08:08:33 | state=FULL_LOCK | obs_residual=-0.3ms | applied=-0.3ms | post_residual=0.0ms | soft=0 | hard=0 | drift=250.0ppm | uptime=00:00:05 | sec=0.0ms min=0.0ms hr=0.0ms day=0.0ms wk=0.0ms mon=0.0ms yr=0.0ms
2026-03-17 08:08:34 | state=FULL_LOCK | obs_residual=-0.3ms | applied=-0.3ms | post_residual=0.0ms | soft=0 | hard=0 | drift=250.0ppm | uptime=00:00:06 | sec=0.0ms min=0.0ms hr=0.0ms day=0.0ms wk=0.0ms mon=0.0ms yr=0.0ms
2026-03-17 08:08:35 | state=FULL_LOCK | obs_residual=-0.3ms | applied=-0.3ms | post_residual=0.0ms | soft=0 | hard=0 | drift=250.0ppm | uptime=00:00:07 | sec=0.0ms min=0.0ms hr=0.0ms day=0.0ms wk=0.0ms mon=0.0ms yr=0.0ms
2026-03-17 08:08:36 | state=FULL_LOCK | obs_residual=-0.2ms | applied=-0.2ms | post_residual=0.0ms | soft=0 | hard=0 | drift=250.0ppm | uptime=00:00:08 | sec=0.0ms min=0.0ms hr=0.0ms day=0.0ms wk=0.0ms mon=0.0ms yr=0.0ms
2026-03-17 08:08:37 | state=FULL_LOCK | obs_residual=-0.3ms | applied=-0.3ms | post_residual=0.0ms | soft=0 | hard=0 | drift=250.0ppm | uptime=00:00:09 | sec=0.0ms min=0.0ms hr=0.0ms day=0.0ms wk=0.0ms mon=0.0ms yr=0.0ms
SUMMARY | iter=10 | uptime=00:00:09 | state=FULL_LOCK | post_residual=0.0ms | acquire=0 | holdover=0 | abstain=0 | promote=1 | recovery=0 | drift_ppm=250.000 | free_run=0 | capsule_saved=1 | capsule_writes=1
