2026-03-17 08:07:00 | GENERAL_TIME | res=0.0ms | drift=0.0ppm | uptime=00:00:00
2026-03-17 08:07:01 | GENERAL_TIME | res=0.0ms | drift=0.0ppm | uptime=00:00:01
2026-03-17 08:07:02 | FULL_LOCK | res=0.0ms | drift=0.0ppm | uptime=00:00:02
2026-03-17 08:07:03 | FULL_LOCK | res=0.0ms | drift=0.0ppm | uptime=00:00:03
2026-03-17 08:07:04 | FULL_LOCK | res=0.0ms | drift=0.0ppm | uptime=00:00:04
2026-03-17 08:07:05 | FULL_LOCK | res=0.0ms | drift=0.0ppm | uptime=00:00:05
2026-03-17 08:07:06 | FULL_LOCK | res=0.0ms | drift=0.0ppm | uptime=00:00:06
2026-03-17 08:07:07 | FULL_LOCK | res=0.0ms | drift=0.0ppm | uptime=00:00:07
2026-03-17 08:07:08 | FULL_LOCK | res=0.0ms | drift=0.0ppm | uptime=00:00:08
2026-03-17 08:07:09 | FULL_LOCK | res=0.0ms | drift=0.0ppm | uptime=00:00:09
SUMMARY | iter=10 | uptime=00:00:09 | state=FULL_LOCK | post_residual=0.0ms | acquire=0 | holdover=0 | abstain=0 | promote=1 | recovery=0 | drift_ppm=0.000 | free_run=0 | capsule_saved=1 | capsule_writes=1
2026-03-17 08:07:10 | FULL_LOCK | res=0.0ms | drift=0.0ppm | uptime=00:00:10
2026-03-17 08:07:11 | FULL_LOCK | res=0.0ms | drift=0.0ppm | uptime=00:00:11
2026-03-17 08:07:12 | FULL_LOCK | res=0.0ms | drift=0.0ppm | uptime=00:00:12
2026-03-17 08:07:13 | FULL_LOCK | res=0.0ms | drift=0.0ppm | uptime=00:00:13
2026-03-17 08:07:14 | FULL_LOCK | res=0.0ms | drift=0.0ppm | uptime=00:00:14
2026-03-17 08:07:15 | FULL_LOCK | res=0.0ms | drift=0.0ppm | uptime=00:00:15
2026-03-17 08:07:16 | FULL_LOCK | res=0.0ms | drift=0.0ppm | uptime=00:00:16
2026-03-17 08:07:17 | FULL_LOCK | res=0.0ms | drift=0.0ppm | uptime=00:00:17
2026-03-17 08:07:18 | FULL_LOCK | res=0.0ms | drift=0.0ppm | uptime=00:00:18
2026-03-17 08:07:19 | FULL_LOCK | res=0.0ms | drift=0.0ppm | uptime=00:00:19
SUMMARY | iter=20 | uptime=00:00:19 | state=FULL_LOCK | post_residual=0.0ms | acquire=0 | holdover=0 | abstain=0 | promote=1 | recovery=0 | drift_ppm=0.000 | free_run=0 | capsule_saved=1 | capsule_writes=2
2026-03-17 08:07:20 | FULL_LOCK | res=0.0ms | drift=0.0ppm | uptime=00:00:20
